mut_types,mut_layer_name,mut_result
RA,network.17.2,True
RA,network.24.2,True
RA,network.15.2,True
RA,network.18.2,True
RA,network.10.2,True
RA,network.9.2,True
RA,network.25.2,True
RA,network.5.2,True
RA,network.1.2,True
RA,network.23.2,True
RA,network.10.2,True
RA,network.6.2,True
RA,network.21.2,True
RA,network.25.2,True
RA,network.18.2,True
RA,network.8.2,True
RA,network.22.2,True
RA,network.13.2,True
RA,network.5.2,True
RA,network.14.2,True
RA,network.23.2,True
RA,network.8.2,True
RA,network.10.2,True
RA,network.0.2,True
RA,network.14.2,True
RA,network.15.2,True
RA,network.26.2,True
RA,network.14.2,True
RA,network.14.2,True
RA,network.7.2,True
RA,network.11.2,True
RA,network.19.2,True
RA,network.0.2,True
RA,network.3.2,True
RA,network.2.2,True
RA,network.25.2,True
RA,network.22.2,True
RA,network.12.2,True
RA,network.18.2,True
RA,network.5.2,True
RA,network.11.2,True
RA,network.23.2,True
RA,network.11.2,True
RA,network.23.2,True
RA,network.13.2,True
RA,network.10.2,True
RA,network.6.2,True
RA,network.16.2,True
RA,network.2.2,True
RA,network.20.2,True
RA,network.21.2,True
RA,network.20.2,True
RA,network.11.2,True
RA,network.4.2,True
RA,network.9.2,True
RA,network.15.2,True
RA,network.14.2,True
RA,network.12.2,True
RA,network.1.2,True
RA,network.2.2,True
RA,network.24.2,True
RA,network.8.2,True
RA,network.15.2,True
RA,network.20.2,True
RA,network.3.2,True
RA,network.23.2,True
RA,network.4.2,True
RA,network.10.2,True
RA,network.3.2,True
RA,network.16.2,True
RA,network.0.2,True
RA,network.5.2,True
RA,network.17.2,True
RA,network.6.2,True
RA,network.1.2,True
RA,network.16.2,True
RA,network.13.2,True
RA,network.2.2,True
RA,network.13.2,True
RA,network.12.2,True
RA,network.0.2,True
RA,network.12.2,True
RA,network.0.2,True
RA,network.17.2,True
RA,network.20.2,True
RA,network.13.2,True
RA,network.10.2,True
RA,network.20.2,True
RA,network.7.2,True
RA,network.22.2,True
RA,network.26.2,True
RA,network.17.2,True
RA,network.9.2,True
RA,network.7.2,True
RA,network.3.2,True
RA,network.16.2,True
RA,network.19.2,True
RA,network.11.2,True
RA,network.14.2,True
RA,network.12.2,True
