mut_types,mut_layer_name,mut_result
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.relu,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.relu,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp1.aspp_conv.2,True
RA,aspp.aspp2.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.relu,True
RA,aspp.aspp1.aspp_conv.2,True
