mut_types,mut_layer_name,mut_result
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.13,True
RA,stage_5.relu,True
RA,stage_5.relu,True
RA,stage_2.relu,True
RA,base.vgg_base.layers.1,True
RA,base.relu,True
RA,stage_2.relu,True
RA,stage_2.relu,True
RA,base.relu,True
RA,base.relu,True
RA,stage_6.relu,True
RA,base.vgg_base.layers.8,True
RA,base.relu,True
RA,stage_5.relu,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.15,True
RA,stage_2.relu,True
RA,stage_1.relu,True
RA,base.vgg_base.layers.1,True
RA,base.relu,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.6,True
RA,stage_1.relu,True
RA,stage_1.relu,True
RA,stage_3.relu,True
RA,stage_2.relu,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.3,True
RA,stage_4.relu,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.6,True
RA,stage_5.relu,True
RA,base.vgg_base.layers.6,True
RA,base.relu,True
RA,base.vgg_base.layers.13,True
RA,stage_2.relu,True
RA,base.vgg_base.layers.13,True
RA,stage_2.relu,True
RA,stage_1.relu,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.8,True
RA,stage_6.relu,True
RA,stage_4.relu,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.8,True
RA,stage_4.relu,True
RA,stage_1.relu,True
RA,stage_3.relu,True
RA,base.vgg_base.layers.3,True
RA,stage_5.relu,True
RA,stage_2.relu,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.6,True
RA,base.relu,True
RA,stage_5.relu,True
RA,stage_5.relu,True
RA,stage_1.relu,True
RA,base.vgg_base.layers.15,True
RA,stage_3.relu,True
RA,stage_6.relu,True
RA,stage_2.relu,True
RA,base.vgg_base.layers.20,True
RA,stage_5.relu,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.22,True
RA,stage_6.relu,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.3,True
RA,base.relu,True
RA,stage_1.relu,True
RA,base.vgg_base.layers.20,True
RA,base.relu,True
RA,stage_5.relu,True
RA,base.vgg_base.layers.20,True
RA,stage_5.relu,True
RA,base.vgg_base.layers.6,True
RA,stage_6.relu,True
RA,base.vgg_base.layers.13,True
RA,stage_5.relu,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.1,True
RA,stage_2.relu,True
RA,stage_5.relu,True
