mut_types,mut_layer_name,mut_result
RA,layer2.0.relu,True
RA,layer3.4.relu,True
RA,layer1.2.relu,True
RA,layer1.1.relu,True
RA,layer3.0.relu,True
RA,layer3.4.relu,True
RA,layer3.0.relu,True
RA,layer3.3.relu,True
RA,layer1.2.relu,True
RA,layer2.0.relu,True
RA,layer3.1.relu,True
RA,layer3.3.relu,True
RA,layer2.0.relu,True
RA,layer3.2.relu,True
RA,layer3.4.relu,True
RA,layer1.0.relu,True
RA,layer2.0.relu,True
RA,layer1.2.relu,True
RA,layer3.1.relu,True
RA,relu,True
RA,layer3.2.relu,True
RA,layer1.1.relu,True
RA,layer3.0.relu,True
RA,layer2.1.relu,True
RA,layer2.2.relu,True
RA,layer3.5.relu,True
RA,layer3.5.relu,True
RA,layer2.0.relu,True
RA,layer3.1.relu,True
RA,layer2.1.relu,True
RA,layer3.3.relu,True
RA,layer3.5.relu,True
RA,layer1.2.relu,True
RA,layer2.0.relu,True
RA,layer3.3.relu,True
RA,layer3.4.relu,True
RA,layer3.2.relu,True
RA,layer2.0.relu,True
RA,layer2.1.relu,True
RA,layer3.2.relu,True
RA,layer1.1.relu,True
RA,layer1.2.relu,True
RA,layer2.3.relu,True
RA,layer3.0.relu,True
RA,layer3.4.relu,True
RA,layer2.1.relu,True
RA,layer1.0.relu,True
RA,layer1.0.relu,True
RA,layer2.0.relu,True
RA,layer3.2.relu,True
RA,layer2.1.relu,True
RA,layer1.0.relu,True
RA,layer3.4.relu,True
RA,layer3.2.relu,True
RA,relu,True
RA,layer2.3.relu,True
RA,layer3.0.relu,True
RA,layer2.1.relu,True
RA,layer1.1.relu,True
RA,layer2.0.relu,True
RA,layer2.0.relu,True
RA,layer2.0.relu,True
RA,layer3.2.relu,True
RA,layer2.0.relu,True
RA,layer1.1.relu,True
RA,relu,True
RA,layer3.3.relu,True
RA,layer3.4.relu,True
RA,layer1.0.relu,True
RA,layer3.1.relu,True
RA,layer3.3.relu,True
RA,layer2.1.relu,True
RA,relu,True
RA,layer2.3.relu,True
RA,layer1.0.relu,True
RA,layer3.2.relu,True
RA,relu,True
RA,layer1.0.relu,True
RA,layer3.2.relu,True
RA,relu,True
RA,layer1.2.relu,True
RA,layer2.2.relu,True
RA,layer3.0.relu,True
RA,layer3.1.relu,True
RA,layer3.0.relu,True
RA,layer1.1.relu,True
RA,layer2.1.relu,True
RA,layer2.2.relu,True
RA,layer3.3.relu,True
RA,layer3.5.relu,True
RA,layer3.2.relu,True
RA,layer2.1.relu,True
RA,layer3.0.relu,True
RA,layer1.1.relu,True
RA,layer1.2.relu,True
RA,layer3.1.relu,True
RA,layer1.0.relu,True
RA,layer1.2.relu,True
RA,layer2.2.relu,True
RA,layer3.5.relu,True
