mut_types,mut_layer_name,mut_result
RA,down3.maxpool_conv.1.double_conv.1,True
RA,up4.relu,True
RA,up3.relu,True
RA,down4.maxpool_conv.1.double_conv.1,True
RA,inc.double_conv.1,True
RA,down1.maxpool_conv.1.double_conv.1,True
RA,up1.relu,True
RA,up2.conv.double_conv.1,True
RA,up1.conv.double_conv.3,True
RA,up1.conv.double_conv.3,True
RA,up1.conv.double_conv.3,True
RA,up4.relu,True
RA,up2.conv.double_conv.1,True
RA,up4.conv.double_conv.3,True
RA,down2.maxpool_conv.1.double_conv.3,True
RA,up3.conv.double_conv.1,True
RA,down4.maxpool_conv.1.double_conv.3,True
RA,up1.conv.double_conv.1,True
RA,down1.maxpool_conv.1.double_conv.1,True
RA,up4.conv.double_conv.1,True
RA,up3.relu,True
RA,up3.conv.double_conv.3,True
RA,up3.conv.double_conv.3,True
RA,up1.relu,True
RA,down1.maxpool_conv.1.double_conv.3,True
RA,up1.conv.double_conv.3,True
RA,up2.conv.double_conv.1,True
RA,up3.conv.double_conv.3,True
RA,inc.double_conv.3,True
RA,up2.conv.double_conv.3,True
RA,up2.relu,True
RA,down1.maxpool_conv.1.double_conv.1,True
RA,down1.maxpool_conv.1.double_conv.3,True
RA,up1.relu,True
RA,down4.maxpool_conv.1.double_conv.3,True
RA,up2.relu,True
RA,up2.conv.double_conv.3,True
RA,up1.conv.double_conv.3,True
RA,up1.conv.double_conv.3,True
RA,up3.relu,True
