mut_types,mut_layer_name,mut_result
RA,layers.22,True
RA,classifier.4,True
RA,layers.12,True
RA,layers.39,True
RA,layers.12,True
RA,classifier.1,True
RA,layers.12,True
RA,layers.12,True
RA,layers.29,True
RA,layers.29,True
RA,layers.16,True
RA,classifier.4,True
RA,layers.26,True
RA,layers.5,True
RA,classifier.1,True
RA,layers.2,True
RA,classifier.1,True
RA,layers.19,True
RA,layers.22,True
RA,layers.39,True
RA,layers.29,True
RA,layers.29,True
RA,layers.5,True
RA,layers.16,True
RA,layers.42,True
RA,layers.29,True
RA,layers.2,True
RA,layers.29,True
RA,layers.32,True
RA,layers.19,True
RA,layers.39,True
RA,layers.36,True
RA,layers.36,True
RA,layers.32,True
RA,layers.29,True
RA,layers.36,True
RA,layers.12,True
RA,layers.16,True
RA,layers.9,True
RA,layers.2,True
