mut_types,mut_layer_name,mut_result
SM,network.1.0,True
SM,network.13.2,True
SM,network.4.2,True
SM,network.21.0,True
SM,network.26.2,True
SM,network.21.1,True
SM,network.13.2,True
SM,network.25.2,True
SM,network.20.2,True
SM,network.13.0,True
SM,network.19.0,True
SM,network.23.0,True
SM,network.16.0,True
SM,no,SM set layers failure
SM,network.20.2,True
SM,network.7.0,True
SM,network.24.2,True
SM,network.23.0,True
SM,network.13.1,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,network.24.2,True
SM,network.17.2,True
SM,network.21.2,True
SM,network.7.1,True
SM,no,SM set layers failure
SM,network.7.0,True
SM,network.12.0,True
SM,network.12.2,True
SM,network.3.2,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,network.0.0,True
SM,no,SM set layers failure
SM,network.1.1,True
SM,network.9.2,True
SM,no,SM set layers failure
SM,network.7.0,True
SM,network.12.2,True
SM,network.6.0,True
SM,network.12.0,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,network.5.2,True
SM,network.5.0,True
SM,network.14.2,True
SM,network.6.0,True
SM,network.22.2,True
SM,network.10.0,True
SM,network.10.1,True
SM,network.25.2,True
SM,network.11.2,True
SM,network.15.2,True
SM,no,SM set layers failure
SM,network.3.0,True
SM,network.2.0,True
SM,no,SM set layers failure
SM,network.16.0,True
SM,network.16.1,True
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,network.16.1,True
SM,no,SM set layers failure
SM,network.6.0,True
SM,no,SM set layers failure
SM,network.1.0,True
SM,network.20.0,True
SM,network.25.2,True
SM,network.0.0,True
SM,network.23.1,True
SM,network.9.2,True
SM,no,SM set layers failure
SM,network.2.2,True
SM,network.16.1,True
SM,network.25.0,True
SM,network.24.2,True
SM,network.26.0,True
SM,network.18.0,True
SM,network.23.1,True
SM,network.3.0,True
SM,network.6.2,True
SM,network.3.0,True
SM,network.2.2,True
SM,no,SM set layers failure
SM,network.6.2,True
SM,network.5.2,True
SM,network.5.0,True
SM,network.10.2,True
SM,network.12.1,True
SM,network.6.2,True
SM,no,SM set layers failure
SM,network.4.2,True
SM,no,SM set layers failure
SM,network.10.1,True
SM,network.17.2,True
SM,network.25.1,True
SM,network.18.2,True
SM,network.7.2,True
SM,network.19.0,True
SM,network.4.0,True
