mut_types,mut_layer_name,mut_result
SM,network.layer2.3.conv3,True
SM,network.layer4.2.bn1,True
SM,network.layer1.1.bn3,True
SM,network.layer2.0.relu,True
SM,network.layer2.1.conv2,True
SM,network.layer2.3.bn3,True
SM,network.layer1.2.conv2,True
SM,network.layer3.0.down_sample_layer.0,True
SM,network.layer2.1.bn1,True
SM,network.layer3.1.bn3,True
SM,network.layer2.0.conv3,True
SM,network.layer2.3.relu,True
SM,network.layer3.4.bn3,True
SM,network.layer3.0.conv1,True
SM,network.layer1.0.conv2,True
SM,network.layer1.2.conv2,True
SM,network.layer4.1.relu,True
SM,network.layer4.1.bn3,True
SM,network.layer2.2.conv1,True
SM,network.layer3.5.conv2,True
SM,network.layer3.0.down_sample_layer.1,True
SM,network.layer3.1.conv1,True
SM,network.layer1.0.conv3,True
SM,network.layer3.5.bn3,True
SM,network.layer2.3.bn2,True
SM,network.layer4.2.conv2,True
SM,network.layer3.3.bn2,True
SM,network.layer3.1.bn1,True
SM,network.layer4.1.conv2,True
SM,network.layer2.2.relu,True
SM,network.layer2.0.bn3,True
SM,network.layer3.3.bn1,True
SM,network.layer3.4.relu,True
SM,network.layer3.3.bn3,True
SM,network.layer3.0.bn3,True
SM,network.layer4.1.conv1,True
SM,network.layer2.1.conv3,True
SM,network.layer1.2.conv3,True
SM,network.layer1.0.conv2,True
SM,network.layer3.0.bn3,True
SM,network.layer3.2.bn2,True
SM,network.bn1,True
SM,network.layer3.2.relu,True
SM,network.layer1.1.bn2,True
SM,network.layer3.3.relu,True
SM,network.layer1.1.relu,True
SM,network.layer4.0.relu,True
SM,network.layer2.0.conv3,True
SM,network.layer1.2.bn3,True
SM,network.layer4.1.conv3,True
SM,network.layer3.2.bn1,True
SM,network.layer3.0.bn2,True
SM,network.layer4.0.conv3,True
SM,network.layer3.3.conv2,True
SM,network.layer2.0.bn2,True
SM,network.layer3.0.down_sample_layer.1,True
SM,network.layer2.1.relu,True
SM,network.layer3.0.down_sample_layer.0,True
SM,network.layer3.3.relu,True
SM,network.layer3.3.conv3,True
SM,network.layer1.2.bn1,True
SM,network.layer3.1.bn1,True
SM,network.layer4.2.bn2,True
SM,network.layer4.2.bn3,True
SM,network.layer1.2.conv3,True
SM,network.layer2.3.bn3,True
SM,network.layer4.2.relu,True
SM,network.layer2.2.conv2,True
SM,network.layer3.2.bn1,True
SM,network.layer2.3.conv1,True
SM,network.layer4.1.conv1,True
SM,network.layer3.2.relu,True
SM,network.layer4.1.conv3,True
SM,network.layer3.0.bn1,True
SM,network.layer3.5.bn3,True
SM,network.layer4.0.bn2,True
SM,network.layer4.0.conv2,True
SM,network.layer2.1.conv2,True
SM,network.layer3.4.conv1,True
SM,network.layer4.2.conv3,True
SM,network.layer3.0.bn3,True
SM,network.layer1.0.relu,True
SM,network.layer2.2.conv2,True
SM,network.layer3.3.bn2,True
SM,network.layer2.0.down_sample_layer.0,True
SM,network.layer1.2.conv1,True
SM,network.layer3.4.conv2,True
SM,network.layer4.1.conv3,True
SM,network.layer3.3.conv1,True
SM,network.layer2.1.bn1,True
SM,network.layer2.0.down_sample_layer.1,True
SM,network.layer4.1.conv1,True
SM,network.layer4.0.relu,True
SM,network.layer4.1.conv3,True
SM,network.layer3.3.conv2,True
SM,network.layer3.0.bn2,True
SM,network.conv1,True
SM,network.layer2.1.conv2,True
SM,network.layer3.0.down_sample_layer.1,True
SM,no,SM set layers failure
