mut_types,mut_layer_name,mut_result
SM,stage_5.conv4_L1,True
SM,stage_6.conv7_L1,True
SM,stage_4.conv4_L2,True
SM,stage_3.relu,True
SM,stage_4.conv3_L2,True
SM,stage_5.conv4_L2,True
SM,base.vgg_base.layers.10,True
SM,stage_2.conv2_L1,True
SM,stage_6.conv6_L1,True
SM,stage_6.conv7_L1,True
SM,stage_1.conv5_CPM_L1,True
SM,stage_5.conv4_L1,True
SM,stage_3.conv2_L1,True
SM,stage_6.conv1_L2,True
SM,stage_2.conv7_L1,True
SM,stage_2.conv5_L1,True
SM,stage_3.conv5_L2,True
SM,stage_1.conv3_CPM_L2,True
SM,stage_2.conv1_L1,True
SM,stage_3.conv2_L2,True
SM,stage_2.relu,True
SM,stage_4.conv6_L1,True
SM,stage_5.relu,True
SM,stage_2.conv5_L2,True
SM,base.vgg_base.layers.18,True
SM,stage_3.conv6_L2,True
SM,stage_6.conv4_L2,True
SM,stage_5.conv3_L1,True
SM,base.vgg_base.layers.19,True
SM,base.vgg_base.layers.13,True
SM,stage_3.conv3_L2,True
SM,stage_2.conv4_L2,True
SM,stage_6.conv4_L2,True
SM,stage_5.conv3_L2,True
SM,stage_5.conv7_L1,True
SM,stage_1.conv4_CPM_L1,True
SM,stage_4.relu,True
SM,base.vgg_base.layers.15,True
SM,base.vgg_base.layers.7,True
SM,stage_4.conv4_L2,True
SM,stage_2.conv2_L2,True
SM,stage_5.conv4_L2,True
SM,stage_3.conv6_L1,True
SM,base.vgg_base.layers.5,True
SM,stage_6.conv7_L1,True
SM,stage_4.conv7_L1,True
SM,stage_1.conv4_CPM_L2,True
SM,stage_5.conv3_L1,True
SM,stage_4.conv3_L1,True
SM,stage_4.conv2_L1,True
SM,base.conv4_3_CPM,True
SM,base.vgg_base.layers.17,True
SM,stage_3.conv1_L1,True
SM,stage_3.conv1_L2,True
SM,stage_3.conv2_L1,True
SM,stage_3.conv2_L2,True
SM,stage_1.conv5_CPM_L2,True
SM,stage_6.conv4_L2,True
SM,stage_3.conv1_L2,True
SM,no,False
SM,stage_4.conv3_L2,True
SM,stage_6.conv2_L1,True
SM,stage_1.conv4_CPM_L1,True
SM,stage_1.conv4_CPM_L2,True
SM,stage_3.conv3_L2,True
SM,stage_2.conv4_L1,True
SM,stage_6.conv1_L2,True
SM,base.vgg_base.layers.19,True
SM,base.vgg_base.layers.6,True
SM,stage_2.conv5_L2,True
SM,stage_4.relu,True
SM,base.vgg_base.layers.4,True
SM,stage_2.conv1_L1,True
SM,stage_5.conv2_L1,True
SM,stage_5.conv2_L2,True
SM,stage_3.conv2_L2,True
SM,stage_2.conv7_L2,True
SM,base.vgg_base.layers.9,True
SM,stage_3.conv4_L1,True
SM,stage_3.conv3_L1,True
SM,base.vgg_base.layers.8,True
SM,stage_6.conv2_L1,True
SM,stage_2.conv7_L2,True
SM,base.vgg_base.layers.19,True
SM,stage_3.conv6_L2,True
SM,stage_1.conv5_CPM_L1,True
SM,no,False
SM,stage_4.conv6_L1,True
SM,stage_6.conv7_L2,True
SM,stage_3.conv2_L1,True
SM,base.vgg_base.layers.8,True
SM,stage_6.relu,True
SM,stage_2.conv7_L2,True
SM,base.vgg_base.layers.20,True
SM,base.vgg_base.layers.16,True
SM,stage_4.conv6_L1,True
SM,base.vgg_base.layers.10,True
SM,stage_1.conv5_CPM_L1,True
SM,no,False
SM,stage_5.conv5_L1,True
