mut_types,mut_layer_name,mut_result
SM,layer2.0.bn1,True
SM,layer3.0.conv2,True
SM,layer2.0.downsample.0,True
SM,layer1.2.bn3,True
SM,layer3.3.conv1,True
SM,no,False
SM,layer3.0.bn3,True
SM,layer1.0.downsample.0,True
SM,layer3.1.conv3,True
SM,layer2.1.conv1,True
SM,layer3.1.conv3,True
SM,layer2.3.conv1,True
SM,layer3.4.conv3,True
SM,layer1.0.downsample.1,True
SM,no,False
SM,layer2.2.conv2,True
SM,layer3.1.bn3,True
SM,no,False
SM,layer3.3.bn2,True
SM,layer2.0.conv1,True
SM,no,SM set layers failure
SM,layer3.0.conv1,True
SM,layer3.5.conv1,True
SM,conv1,True
SM,layer1.1.bn1,True
SM,layer3.1.conv3,True
SM,layer2.2.conv3,True
SM,layer1.0.bn2,True
SM,layer3.5.bn1,True
SM,layer3.3.conv1,True
SM,layer1.1.conv1,True
SM,layer1.2.conv2,True
SM,layer2.2.relu,True
SM,layer3.5.bn3,True
SM,layer3.1.conv1,True
SM,layer2.2.bn2,True
SM,layer2.1.conv1,True
SM,layer2.0.bn2,True
SM,layer2.0.bn1,True
SM,layer3.4.conv3,True
SM,layer1.1.bn1,True
SM,layer3.1.bn3,True
SM,layer2.2.conv1,True
SM,layer3.4.bn3,True
SM,no,False
SM,no,False
SM,layer3.1.conv2,True
SM,layer2.0.bn2,True
SM,layer2.1.bn3,True
SM,layer1.0.conv1,True
SM,layer3.0.bn3,True
SM,layer3.0.conv1,True
SM,layer3.1.conv3,True
SM,layer1.2.conv1,True
SM,layer3.0.bn2,True
SM,layer3.2.conv2,True
SM,layer1.1.bn3,True
SM,layer3.1.conv1,True
SM,no,False
SM,layer3.4.conv1,True
SM,layer1.0.conv3,True
SM,layer2.0.downsample.0,True
SM,layer3.4.conv1,True
SM,layer3.0.bn1,True
SM,layer1.0.bn2,True
SM,layer3.3.conv3,True
SM,layer3.0.conv3,True
SM,maxpool,True
SM,conv1,True
SM,layer1.0.bn3,True
SM,relu,True
SM,layer3.1.conv1,True
SM,layer1.2.conv2,True
SM,layer3.0.conv2,True
SM,layer2.0.conv2,True
SM,layer1.2.bn1,True
SM,layer3.2.conv3,True
SM,layer1.2.bn2,True
SM,layer1.1.bn1,True
SM,layer3.2.relu,True
SM,no,False
SM,layer3.0.relu,True
SM,layer3.2.conv3,True
SM,layer3.4.bn3,True
SM,layer2.0.bn1,True
SM,layer3.5.bn2,True
SM,layer2.2.bn3,True
SM,layer3.2.relu,True
SM,layer2.3.conv2,True
SM,layer3.0.bn1,True
SM,layer3.0.bn1,True
SM,layer1.0.bn3,True
SM,layer2.0.conv1,True
SM,layer1.0.bn1,True
SM,layer2.1.bn1,True
SM,layer3.2.bn2,True
SM,layer3.0.conv2,True
SM,layer1.0.conv3,True
SM,layer2.3.conv1,True
SM,layer2.3.conv3,True
