mut_types,mut_layer_name,mut_result
SM,layer2.1.bn3,True
SM,layer2.2.bn1,True
SM,relu,True
SM,layer4.0.bn1,True
SM,flatten,True
SM,layer4.1.conv1,True
SM,no,False
SM,layer4.1.conv1,True
SM,layer3.1.conv3,True
SM,layer4.1.conv3,True
SM,layer3.1.bn3,True
SM,no,False
SM,no,False
SM,layer2.0.down_sample_layer.0,True
SM,layer2.1.conv3,True
SM,conv1,True
SM,layer2.2.conv2,True
SM,layer4.0.down_sample_layer.0,True
SM,layer2.3.bn1,True
SM,layer3.2.conv1,True
SM,no,False
SM,layer2.0.conv2,True
SM,layer3.0.conv2,True
SM,no,False
SM,layer2.3.conv3,True
SM,layer4.2.bn1,True
SM,no,False
SM,layer3.3.bn3,True
SM,layer2.3.conv3,True
SM,layer3.4.conv1,True
SM,layer3.3.conv3,True
SM,no,False
SM,no,False
SM,layer4.2.conv2,True
SM,layer2.3.conv1,True
SM,no,False
SM,layer3.2.conv2,True
SM,no,False
SM,no,False
SM,layer3.2.bn3,True
SM,layer3.0.bn1,True
SM,no,False
SM,no,SM set layers failure
SM,no,SM set layers failure
SM,layer2.3.conv1,True
SM,layer3.5.conv1,True
SM,layer2.0.bn1,True
SM,no,False
SM,layer2.3.bn3,True
SM,layer4.1.bn3,True
SM,layer3.5.bn3,True
SM,no,False
SM,no,False
SM,layer2.3.bn2,True
SM,layer2.0.conv1,True
SM,no,False
SM,layer3.0.bn1,True
SM,no,False
SM,layer2.3.bn1,True
SM,layer2.2.conv2,True
SM,layer2.0.conv2,True
SM,layer3.5.bn3,True
SM,no,False
SM,layer4.2.bn1,True
SM,layer2.0.bn1,True
SM,layer4.0.down_sample_layer.0,True
SM,end_point,True
SM,layer3.5.bn1,True
SM,layer3.2.bn1,True
SM,layer4.0.conv3,True
SM,layer2.3.bn1,True
SM,no,False
SM,layer2.3.conv1,True
SM,layer4.0.down_sample_layer.1,True
SM,no,False
SM,layer3.3.bn1,True
SM,layer3.5.bn3,True
SM,no,False
SM,layer2.2.bn2,True
SM,no,False
SM,layer2.2.conv2,True
SM,layer4.2.bn2,True
SM,layer2.0.bn2,True
SM,layer4.1.bn2,True
SM,layer2.2.bn2,True
SM,layer3.4.bn1,True
SM,layer2.1.conv2,True
SM,layer2.3.conv1,True
SM,layer3.4.conv1,True
SM,layer4.1.conv3,True
SM,layer2.1.conv3,True
SM,layer2.1.conv2,True
SM,layer2.3.bn2,True
SM,layer3.1.conv2,True
SM,no,False
SM,layer2.3.conv1,True
SM,layer2.0.down_sample_layer.1,True
SM,layer2.1.conv2,True
SM,layer2.3.bn1,True
SM,layer3.4.bn3,True
