mut_types,mut_layer_name,mut_result
SM,no,SM Create illegal layer
SM,decoded.14,True
SM,decoded.3,True
SM,encoded.7,True
SM,encoded.1,True
SM,encoded.8,True
SM,encoded.6,True
SM,encoded.7,True
SM,encoded.4,True
SM,no,SM Create illegal layer
SM,encoded.5,True
SM,encoded.14,True
SM,decoded.14,True
SM,no,SM Create illegal layer
SM,decoded.14,True
SM,encoded.0,True
SM,decoded.1,True
SM,decoded.14,True
SM,decoded.14,True
SM,decoded.6,True
SM,encoded.9,True
SM,encoded.9,True
SM,decoded.19,True
SM,encoded.4,True
SM,encoded.11,True
SM,decoded.17,True
SM,encoded.3,True
SM,decoded.8,True
SM,decoded.4,True
SM,decoded.10,True
SM,encoded.13,True
SM,decoded.8,True
SM,decoded.2,True
SM,decoded.8,True
SM,decoded.8,True
SM,encoded.11,True
SM,decoded.16,True
SM,decoded.10,True
SM,encoded.16,True
SM,decoded.1,True
