mut_types,mut_layer_name,mut_result
SM,layers.4,True
SM,layers.0,True
SM,layers.38,True
SM,layers.20,True
SM,layers.9,True
SM,layers.5,True
SM,layers.25,True
SM,layers.30,True
SM,layers.43,True
SM,classifier.3,True
SM,layers.7,True
SM,layers.33,True
SM,layers.22,True
SM,layers.29,True
SM,layers.24,True
SM,classifier.5,True
SM,layers.3,True
SM,layers.14,True
SM,layers.8,True
SM,layers.11,True
SM,layers.6,True
SM,layers.2,True
SM,layers.42,True
SM,layers.41,True
SM,layers.3,True
SM,layers.19,True
SM,layers.22,True
SM,layers.25,True
SM,layers.16,True
SM,classifier.1,True
SM,layers.34,True
SM,layers.21,True
SM,layers.13,True
SM,layers.27,True
SM,avgpool,True
SM,layers.26,True
SM,classifier.0,True
SM,no,SM Create illegal layer
SM,classifier.4,True
SM,layers.6,True
