mut_types,mut_layer_name,mut_result
WS,network.18.0,True
WS,network.22.0,True
WS,network.5.0,True
WS,network.0.0,True
WS,network.15.0,True
WS,network.16.0,True
WS,network.0.0,True
WS,network.12.0,True
WS,network.12.0,True
WS,network.24.0,True
WS,network.12.0,True
WS,network.1.0,True
WS,network.22.0,True
WS,network.11.0,True
WS,network.12.0,True
WS,network.17.0,True
WS,network.17.0,True
WS,network.22.0,True
WS,network.3.0,True
WS,network.0.0,True
WS,network.2.0,True
WS,network.19.0,True
WS,network.4.0,True
WS,network.13.0,True
WS,network.4.0,True
WS,network.10.0,True
WS,network.22.0,True
WS,network.26.0,True
WS,network.25.0,True
WS,network.20.0,True
WS,network.11.0,True
WS,network.24.0,True
WS,network.24.0,True
WS,network.16.0,True
WS,network.26.0,True
WS,network.5.0,True
WS,network.11.0,True
WS,network.2.0,True
WS,network.26.0,True
WS,network.17.0,True
WS,network.1.0,True
WS,network.9.0,True
WS,network.12.0,True
WS,network.19.0,True
WS,network.5.0,True
WS,network.17.0,True
WS,network.1.0,True
WS,network.12.0,True
WS,network.17.0,True
WS,network.8.0,True
WS,network.21.0,True
WS,network.16.0,True
WS,network.8.0,True
WS,network.1.0,True
WS,network.10.0,True
WS,network.12.0,True
WS,network.18.0,True
WS,network.20.0,True
WS,network.6.0,True
WS,network.22.0,True
WS,network.10.0,True
WS,network.15.0,True
WS,network.8.0,True
WS,network.8.0,True
WS,network.11.0,True
WS,network.23.0,True
WS,network.3.0,True
WS,network.3.0,True
WS,network.17.0,True
WS,network.26.0,True
WS,network.10.0,True
WS,network.8.0,True
WS,network.16.0,True
WS,network.16.0,True
WS,network.3.0,True
WS,network.21.0,True
WS,network.8.0,True
WS,network.12.0,True
WS,network.16.0,True
WS,network.10.0,True
WS,network.19.0,True
WS,network.12.0,True
WS,network.15.0,True
WS,network.14.0,True
WS,network.5.0,True
WS,network.12.0,True
WS,network.9.0,True
WS,network.2.0,True
WS,network.17.0,True
WS,network.8.0,True
WS,network.10.0,True
WS,network.10.0,True
WS,network.21.0,True
WS,network.1.0,True
WS,network.22.0,True
WS,network.15.0,True
WS,network.25.0,True
WS,network.24.0,True
WS,network.20.0,True
WS,network.13.0,True
