mut_types,mut_layer_name,mut_result
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.conv1,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.conv2,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.conv2,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp4.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv1,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.conv1,True
WS,aspp.aspp4.aspp_conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.conv1,True
WS,aspp.conv1,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp4.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp4.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp_pooling.conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv1,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp4.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp1.aspp_conv.0,True
WS,aspp.conv1,True
WS,aspp.aspp4.aspp_conv.0,True
WS,aspp.conv2,True
WS,aspp.conv1,True
WS,aspp.conv2,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.conv1,True
WS,aspp.aspp2.aspp_conv.0,True
WS,aspp.aspp3.aspp_conv.0,True
WS,aspp.conv1,True
WS,aspp.aspp_pooling.conv.0,True
