mut_types,mut_layer_name,mut_result
WS,encoded.14,True
WS,encoded.18,True
WS,decoded.8,True
WS,encoded.2,True
WS,decoded.4,True
WS,decoded.12,True
WS,decoded.10,True
WS,decoded.6,True
WS,encoded.14,True
WS,decoded.6,True
WS,encoded.14,True
WS,encoded.2,True
WS,decoded.0,True
WS,encoded.2,True
WS,encoded.2,True
WS,encoded.14,True
WS,decoded.8,True
WS,encoded.14,True
WS,decoded.6,True
WS,encoded.8,True
WS,decoded.6,True
WS,decoded.2,True
WS,encoded.6,True
WS,encoded.12,True
WS,encoded.12,True
WS,decoded.14,True
WS,decoded.6,True
WS,decoded.0,True
WS,decoded.6,True
WS,decoded.0,True
WS,encoded.0,True
WS,decoded.14,True
WS,decoded.12,True
WS,encoded.0,True
WS,decoded.4,True
WS,decoded.12,True
WS,decoded.10,True
WS,decoded.8,True
WS,decoded.4,True
WS,decoded.18,True
WS,decoded.2,True
WS,encoded.6,True
WS,decoded.18,True
WS,encoded.0,True
WS,encoded.18,True
WS,decoded.10,True
WS,decoded.2,True
WS,decoded.10,True
WS,decoded.8,True
WS,encoded.0,True
WS,decoded.10,True
WS,encoded.4,True
WS,encoded.6,True
WS,encoded.14,True
WS,decoded.16,True
WS,encoded.10,True
WS,encoded.14,True
WS,encoded.8,True
WS,decoded.4,True
WS,decoded.8,True
WS,encoded.4,True
WS,encoded.18,True
WS,encoded.0,True
WS,decoded.18,True
WS,decoded.2,True
WS,decoded.10,True
WS,decoded.14,True
WS,encoded.8,True
WS,decoded.8,True
WS,encoded.4,True
WS,decoded.16,True
WS,encoded.18,True
WS,decoded.4,True
WS,encoded.6,True
WS,encoded.16,True
WS,decoded.0,True
WS,decoded.8,True
WS,encoded.2,True
WS,encoded.4,True
WS,decoded.12,True
WS,decoded.6,True
WS,decoded.6,True
WS,encoded.12,True
WS,encoded.4,True
WS,decoded.18,True
WS,decoded.8,True
WS,decoded.4,True
WS,encoded.4,True
WS,encoded.14,True
WS,encoded.18,True
WS,decoded.0,True
WS,encoded.10,True
WS,decoded.14,True
WS,decoded.16,True
WS,encoded.18,True
WS,encoded.6,True
WS,decoded.10,True
WS,decoded.14,True
WS,decoded.0,True
WS,decoded.12,True
