mut_types,mut_layer_name,mut_result
WS,layer2.0,True
WS,layer2.0,True
WS,fc,True
WS,layer3.0,True
WS,layer2.0,True
WS,fc,True
WS,layer3.0,True
WS,fc,True
WS,fc,True
WS,layer2.0,True
WS,layer2.0,True
WS,layer3.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer2.0,True
WS,layer3.0,True
WS,layer2.0,True
WS,layer2.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer3.0,True
WS,layer1.0,True
WS,layer3.0,True
WS,layer3.0,True
WS,layer3.0,True
WS,fc,True
WS,layer2.0,True
WS,layer2.0,True
WS,layer2.0,True
WS,fc,True
WS,layer1.0,True
WS,layer2.0,True
WS,layer1.0,True
WS,layer3.0,True
WS,layer2.0,True
WS,fc,True
WS,layer2.0,True
WS,layer3.0,True
WS,layer2.0,True
WS,layer2.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,fc,True
WS,layer3.0,True
WS,layer1.0,True
WS,fc,True
WS,layer2.0,True
WS,layer2.0,True
WS,layer1.0,True
WS,fc,True
WS,layer2.0,True
WS,layer3.0,True
WS,layer3.0,True
WS,layer2.0,True
WS,layer2.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer2.0,True
WS,fc,True
WS,layer3.0,True
WS,layer1.0,True
WS,fc,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer2.0,True
WS,fc,True
WS,layer3.0,True
WS,layer1.0,True
WS,layer3.0,True
WS,layer3.0,True
WS,fc,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer2.0,True
WS,layer2.0,True
WS,fc,True
WS,layer2.0,True
WS,fc,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer3.0,True
WS,layer3.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer1.0,True
WS,layer2.0,True
WS,fc,True
WS,layer3.0,True
WS,layer1.0,True
WS,layer3.0,True
WS,layer2.0,True
WS,layer2.0,True
WS,fc,True
WS,layer1.0,True
WS,layer3.0,True
WS,fc,True
WS,layer2.0,True
WS,layer1.0,True
