mut_types,mut_layer_name,mut_result
WS,up1.up,True
WS,up1.up,True
WS,outc.conv,True
WS,outc.conv,True
WS,down4.maxpool_conv.1.double_conv.0,True
WS,up1.up,True
WS,down3.maxpool_conv.1.double_conv.0,True
WS,up4.conv.double_conv.0,True
WS,up2.up,True
WS,down4.maxpool_conv.1.double_conv.2,True
WS,down3.maxpool_conv.1.double_conv.2,True
WS,up1.conv.double_conv.2,True
WS,up1.conv.double_conv.0,True
WS,down3.maxpool_conv.1.double_conv.0,True
WS,down3.maxpool_conv.1.double_conv.2,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,inc.double_conv.0,True
WS,inc.double_conv.0,True
WS,down1.maxpool_conv.1.double_conv.0,True
WS,up1.conv.double_conv.0,True
WS,up3.up,True
WS,up1.conv.double_conv.0,True
WS,up4.up,True
WS,up3.up,True
WS,up2.conv.double_conv.0,True
WS,up3.conv.double_conv.2,True
WS,down2.maxpool_conv.1.double_conv.2,True
WS,up3.conv.double_conv.2,True
WS,down3.maxpool_conv.1.double_conv.2,True
WS,down3.maxpool_conv.1.double_conv.2,True
WS,up1.conv.double_conv.0,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,down1.maxpool_conv.1.double_conv.0,True
WS,up4.up,True
WS,up3.up,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,down4.maxpool_conv.1.double_conv.2,True
WS,outc.conv,True
WS,up1.conv.double_conv.0,True
WS,down2.maxpool_conv.1.double_conv.2,True
WS,up3.conv.double_conv.2,True
WS,down1.maxpool_conv.1.double_conv.0,True
WS,up4.conv.double_conv.0,True
WS,down2.maxpool_conv.1.double_conv.2,True
WS,inc.double_conv.2,True
WS,down3.maxpool_conv.1.double_conv.0,True
WS,down4.maxpool_conv.1.double_conv.2,True
WS,up4.conv.double_conv.2,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,up4.up,True
WS,outc.conv,True
WS,up1.conv.double_conv.2,True
WS,inc.double_conv.0,True
WS,up4.conv.double_conv.2,True
WS,up4.conv.double_conv.0,True
WS,down2.maxpool_conv.1.double_conv.0,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,up2.conv.double_conv.2,True
WS,down2.maxpool_conv.1.double_conv.0,True
WS,up4.up,True
WS,up3.conv.double_conv.0,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,down1.maxpool_conv.1.double_conv.0,True
WS,down4.maxpool_conv.1.double_conv.0,True
WS,down3.maxpool_conv.1.double_conv.2,True
WS,down3.maxpool_conv.1.double_conv.0,True
WS,up3.up,True
WS,up1.up,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,up4.conv.double_conv.2,True
WS,inc.double_conv.2,True
WS,down1.maxpool_conv.1.double_conv.2,True
WS,inc.double_conv.0,True
WS,inc.double_conv.0,True
WS,down1.maxpool_conv.1.double_conv.0,True
WS,up4.conv.double_conv.0,True
WS,up3.up,True
WS,down2.maxpool_conv.1.double_conv.2,True
WS,inc.double_conv.0,True
WS,up1.conv.double_conv.2,True
WS,up2.conv.double_conv.0,True
WS,down2.maxpool_conv.1.double_conv.0,True
WS,down1.maxpool_conv.1.double_conv.0,True
WS,up4.conv.double_conv.2,True
WS,up2.conv.double_conv.0,True
WS,up3.conv.double_conv.2,True
WS,up4.up,True
WS,outc.conv,True
WS,up3.conv.double_conv.0,True
WS,down3.maxpool_conv.1.double_conv.0,True
WS,up4.conv.double_conv.0,True
WS,up2.conv.double_conv.2,True
WS,up3.conv.double_conv.2,True
WS,up3.conv.double_conv.2,True
WS,up3.conv.double_conv.2,True
WS,up1.conv.double_conv.2,True
WS,down3.maxpool_conv.1.double_conv.2,True
WS,up2.conv.double_conv.2,True
WS,down4.maxpool_conv.1.double_conv.0,True
WS,up4.conv.double_conv.0,True
