mut_types,mut_layer_name,mut_result
WS,layers.40,True
WS,layers.14,True
WS,layers.14,True
WS,layers.0,True
WS,layers.34,True
WS,layers.34,True
WS,classifier.3,True
WS,layers.0,True
WS,layers.3,True
WS,layers.40,True
WS,classifier.6,True
WS,layers.7,True
WS,classifier.6,True
WS,classifier.3,True
WS,layers.24,True
WS,classifier.0,True
WS,layers.34,True
WS,layers.7,True
WS,layers.30,True
WS,layers.0,True
WS,layers.14,True
WS,layers.37,True
WS,layers.14,True
WS,layers.20,True
WS,layers.17,True
WS,layers.30,True
WS,classifier.6,True
WS,layers.10,True
WS,layers.24,True
WS,classifier.6,True
WS,layers.10,True
WS,layers.7,True
WS,classifier.0,True
WS,layers.7,True
WS,layers.40,True
WS,layers.34,True
WS,layers.10,True
WS,layers.3,True
WS,layers.7,True
WS,classifier.3,True
WS,layers.27,True
WS,layers.30,True
WS,layers.0,True
WS,layers.20,True
WS,layers.37,True
WS,layers.17,True
WS,layers.40,True
WS,layers.24,True
WS,layers.40,True
WS,layers.20,True
WS,classifier.6,True
WS,layers.20,True
WS,layers.30,True
WS,layers.3,True
WS,layers.24,True
WS,layers.14,True
WS,layers.14,True
WS,layers.7,True
WS,layers.20,True
WS,layers.17,True
WS,layers.3,True
WS,layers.7,True
WS,layers.30,True
WS,layers.0,True
WS,layers.7,True
WS,layers.20,True
WS,layers.34,True
WS,layers.17,True
WS,layers.27,True
WS,layers.24,True
WS,layers.30,True
WS,layers.10,True
WS,layers.34,True
WS,layers.7,True
WS,layers.14,True
WS,layers.24,True
WS,classifier.3,True
WS,layers.24,True
WS,layers.0,True
WS,layers.40,True
WS,layers.7,True
WS,layers.37,True
WS,layers.27,True
WS,classifier.0,True
WS,classifier.3,True
WS,classifier.6,True
WS,layers.27,True
WS,layers.20,True
WS,classifier.6,True
WS,layers.40,True
WS,layers.34,True
WS,layers.30,True
WS,layers.14,True
WS,classifier.6,True
WS,layers.37,True
WS,layers.24,True
WS,layers.10,True
WS,classifier.6,True
WS,layers.17,True
WS,layers.10,True
